printSteps;asks;maxNum_Iter;maxNumCand_perPop;convergDetect;pctParentsCross;pctElitism;twoPointsCross;reposCross;reposSelInf;reposSelFea;w_alpha;w_beta;w_gamma;w_delta;w_omega;w_sigma;w_pi;w_rho;w_lambda;w_theta
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.05;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.5;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;0;1;0.75;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.05;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.5;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.05;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.05;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.05;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.5;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.5;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.75;0.05;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.75;0.5;0.25;0.25;0.25;0.25;0.25;0.75;0.75
0;0;10000;20;500;80;25;1;0;1;1;0.75;0.75;0.75;0.25;0.25;0.25;0.25;0.25;0.75;0.75
